partner,affiliation,topic
"Stephanie Sundquist","BC Timber Sales — Engineering Officer","Kennedy Siding (PSCIS 199663) FWCP-funded replacement; THUT15000 (PSCIS 203597) deactivation and riparian rehab"
"Andrew Upson, Chuck Carter, Mike McLachlan","BC Timber Sales — Crossing CRP / bridges site plans","Kennedy Siding engineering design standards and site plan"
"Nathan Prince, Sandra Shook, Tania, Eran, Parvinder, Lucy Schick","McLeod Lake Indian Band — TLU Coordinator, Land Stewardship, LRO, Referrals, Director","NE-004 contract; land-guardian field participation; electrofishing course; collaborative QGIS/Mergin project access; council meeting planning; Azouzetta bull trout discussion"
"Deborah Thompson","Sekani Forest Products (formerly Canfor)","Mackenzie and Peace NRD coordination; SUP spatial data; in-ground bridges KML"
"Ray Normandeau, Deborah Thompson","Canfor (prior-year coordination thread)","Fern Creek / Table FSR coordination"
"Andrew Peacosh, Jeff Rensmaag, Michael Watson, Mark Roller","Sinclar Forest Group","Kerry Lake FSR; Arctic FSR; PSCIS 125000 (Trib to Parsnip) coordination"
"Luc Turcotte, Benita Kaytor, Wayne Crossland","WLRS — Bull Trout WHA and Fisheries Sensitive Watershed program","Bull trout critical habitat; meeting follow-up and 2025 re-engagement"
"John Hagen, Mike Stamford","Independent fisheries biologists","eDNA methodology for bull trout and Arctic grayling; Arctic Grayling synthesis report collaboration"
"Mya Eastmure, Sean Wong, Craig Mount, David Maloney, John DeGagne","WLRS / Provincial Fish Passage Technical Working Group","Letters of support; FWCP F27 proposal; FPTWG and MoTi funding 2025/26 coordination"
"Chelsea Regina, Soo Lee, Angus Glass","BC Hydro — FWCP grant administration","F25 close-out and F27 FWCP proposal submission; project ID corrections"
"Kevin Rossi, Bryce O'Connor, Mathew, Daisy Zhao","Chu Cho Environmental","Upper Sustut Salmon Resiliency Fund proposal; Mesilinka River FWCP restoration planning; set up with collaborative QGIS/Mergin project access"
"John Hagen, Luc Turcotte, Ian Spendlow, Nikolaus Gantner, Alexandre Bevington, Bryce O'Connor, Michael Sullivan, Joseph Bottoms, Teuchner, James Morgan, Brent Mossop, Nich Burnett, Alf Leake, Randy Zemlak, Taylor Ward, Ryan Whitehouse, Ray Pillipow, John Rex, M.J. Bayly, J.C. Labarcena","Upper Peace Bull Trout CEMPRA Workshop (multi-agency: BC Hydro, WLRS, MoE BC, gov.ab.ca, Chu Cho, ESSA, independent consultants)","Bull trout stressor modeling and expert elicitation (March 2025)"
"Brent Murray","UNBC","eDNA ddPCR analysis (program-scale 2025 submission)"
"Ashley Sutherland, Melissa Nelson, Brandon Geldart","UNBC NRESi and SERNbc","NRESi-FWCP Mixer event poster (Feb 2026); SERNbc coordination"
"Priscilla Durojaiye, Nicole Hill, Joe Thorley","Poisson Consulting","Stream Network Temperature Modelling 2025"
"Manuela Zindler","Eclipse Geomatics / Skeena Knowledge Trust","Temperature data sharing"
"Angus (Stantec)","Stantec","Offsetting work consultation"
