local_name,date,project_name,crew,ef_id,gps_id,sampling_method,pass_number,ef_seconds,voltage,frequency,enclosure,wp_top,wp_bottom,site_start_time,site_end_time,segment_start_time,segment_end_time,species,length,weight,alive,pit_tag_id,row_id,camera_id,photo_time_start,photo_time_end,comments
125179_us_ef1,2025-09-13T00:00:00Z,2025-077-sern-peace-fish-passage,AI LS,AI,AI,visual observation above water,1,519,350,60,partial enclosure,,,,13:50:50,,13:43:34,Fish Unidentified Species,110,,TRUE,,,AI,14:45:33,,
125179_us_ef1,2025-09-13T00:00:00Z,2025-077-sern-peace-fish-passage,AI LS,AI,AI,visual observation above water,1,519,350,60,partial enclosure,,,,13:50:50,,13:43:34,Fish Unidentified Species,55,,TRUE,,,,,,
125179_us_ef1,2025-09-13T00:00:00Z,2025-077-sern-peace-fish-passage,AI LS,AI,AI,electrofishing,1,519,350,60,partial enclosure,,,,13:50:50,,13:43:34,Rainbow Trout,140,29.8,TRUE,3DD.003E192A98,547,,,,Pit Tag ID: 3DD.003E192A98. Row ID: 547. 
125179_us_ef1,2025-09-13T00:00:00Z,2025-077-sern-peace-fish-passage,AI LS,AI,AI,electrofishing,1,519,350,60,partial enclosure,,,,13:50:50,,13:43:34,Rainbow Trout,46,1.1,TRUE,,,,,,
125179_us_ef1,2025-09-13T00:00:00Z,2025-077-sern-peace-fish-passage,AI LS,AI,AI,electrofishing,1,519,350,60,partial enclosure,,,,13:50:50,,13:43:34,Rainbow Trout,48,1.3,TRUE,,,,,,
125179_us_ef1,2025-09-13T00:00:00Z,2025-077-sern-peace-fish-passage,AI LS,AI,AI,electrofishing,1,519,350,60,partial enclosure,,,,13:50:50,,13:43:34,Rainbow Trout,87,6.8,TRUE,3DD.003E192A74,548,,,,Pit Tag ID: 3DD.003E192A74. Row ID: 548. 
125179_us_ef1,2025-09-13T00:00:00Z,2025-077-sern-peace-fish-passage,AI LS,AI,AI,electrofishing,1,519,350,60,partial enclosure,,,,13:50:50,13:43:34,13:50:50,Rainbow Trout,91,8,TRUE,3DD.003E192A81,549,,,,Pit Tag ID: 3DD.003E192A81. Row ID: 549. 
125179_us_ef1,2025-09-13T00:00:00Z,2025-077-sern-peace-fish-passage,AI LS,AI,AI,electrofishing,1,519,350,60,partial enclosure,,,,13:50:50,13:43:34,13:50:50,Rainbow Trout,153,44.2,TRUE,,,,,,
125179_us_ef1,2025-09-13T00:00:00Z,2025-077-sern-peace-fish-passage,AI LS,AI,AI,electrofishing,1,519,350,60,partial enclosure,,,,13:50:50,13:43:34,13:50:50,Rainbow Trout,96,9,TRUE,3DD.003E192AB1,550,AI,13:02:50,,Pit Tag ID: 3DD.003E192AB1. Row ID: 550. 
125179_us_ef1,2025-09-13T00:00:00Z,2025-077-sern-peace-fish-passage,AI LS,AI,AI,visual observation above water,1,519,350,60,partial enclosure,,,,13:50:50,13:50:50,,Fish Unidentified Species,140,,TRUE,,,,,,
125179_us_ef1,2025-09-13T00:00:00Z,2025-077-sern-peace-fish-passage,AI LS,AI,AI,visual observation above water,1,519,350,60,partial enclosure,,,,13:50:50,13:50:50,,Fish Unidentified Species,140,,TRUE,,,,,,
125179_us_ef1,2025-09-13T00:00:00Z,2025-077-sern-peace-fish-passage,AI LS,AI,AI,electrofishing,1,519,350,60,partial enclosure,,,,13:50:50,13:50:50,,Rainbow Trout,44,0.9,TRUE,,,,,,
125179_us_ef1,2025-09-13T00:00:00Z,2025-077-sern-peace-fish-passage,AI LS,AI,AI,electrofishing,1,519,350,60,partial enclosure,,,,13:50:50,13:50:50,,Rainbow Trout,87,8.4,TRUE,3DD.003E192A67,551,,,,Pit Tag ID: 3DD.003E192A67. Row ID: 551. 
125179_us_ef1,2025-09-13T00:00:00Z,2025-077-sern-peace-fish-passage,AI LS,AI,AI,electrofishing,1,519,350,60,partial enclosure,,,,13:50:50,13:50:50,,Rainbow Trout,135,24.2,TRUE,3DD.003E192AD3,552,,,,Pit Tag ID: 3DD.003E192AD3. Row ID: 552. 
125179_us_ef1,2025-09-13T00:00:00Z,2025-077-sern-peace-fish-passage,AI LS,AI,AI,electrofishing,1,519,350,60,partial enclosure,,,,13:50:50,13:50:50,,Rainbow Trout,153,43.4,TRUE,3DD.003E192ACB,553,AI,15:14:11,,Pit Tag ID: 3DD.003E192ACB. Row ID: 553. 
125179_ds_ef1,2025-09-13T00:00:00Z,2025-077-sern-peace-fish-passage,AI LS,AI,AI,electrofishing,1,686,350,60,partial enclosure,,,10:46:00,11:36:00,11:00:30,11:11:48,Rainbow Trout,48,1.9,TRUE,,,,,,
125179_ds_ef1,2025-09-13T00:00:00Z,2025-077-sern-peace-fish-passage,AI LS,AI,AI,electrofishing,1,686,350,60,partial enclosure,,,10:46:00,11:36:00,11:00:30,11:11:48,Rainbow Trout,47,1.7,FALSE,,,,,,
125179_ds_ef1,2025-09-13T00:00:00Z,2025-077-sern-peace-fish-passage,AI LS,AI,AI,electrofishing,1,686,350,60,partial enclosure,,,10:46:00,11:36:00,11:00:30,11:11:48,Rainbow Trout,90,8.5,TRUE,3DD.003E192A7C,540,,,,Pit Tag ID: 3DD.003E192A7C. Row ID: 540. 
125179_ds_ef1,2025-09-13T00:00:00Z,2025-077-sern-peace-fish-passage,AI LS,AI,AI,electrofishing,1,686,350,60,partial enclosure,,,10:46:00,11:36:00,11:00:30,11:11:48,Rainbow Trout,148,41.3,TRUE,3DD.003E192A79,541,,,,Pit Tag ID: 3DD.003E192A79. Row ID: 541. 
125179_ds_ef1,2025-09-13T00:00:00Z,2025-077-sern-peace-fish-passage,AI LS,AI,AI,electrofishing,1,686,350,60,partial enclosure,,,10:46:00,11:36:00,11:00:30,11:11:48,Rainbow Trout,181,75.1,TRUE,3DD.003E192AAB,542,AI,12:32:48,,Pit Tag ID: 3DD.003E192AAB. Row ID: 542. 
